Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
SRR6298310_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	880999	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	20825339	13523144	0	103620	414877	72743090	64.93600896484807	quant	Fri Apr 24 16:09:49 2020	Fri Apr 24 16:15:31 2020
SRR6298313_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	494060	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	14396809	10776282	0	75005	286579	62652544	74.85187863505031	quant	Fri Apr 24 17:34:00 2020	Fri Apr 24 17:37:51 2020
SRR6298315_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	807044	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	18282876	11636261	0	99223	383557	77008913	63.64568134685156	quant	Fri Apr 24 16:16:51 2020	Fri Apr 24 16:22:02 2020
SRR6298328_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	798241	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	19063027	12600836	0	95219	382562	77000880	66.10091881000851	quant	Fri Apr 24 16:23:26 2020	Fri Apr 24 16:28:05 2020
SRR6298331_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	870297	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	19607614	12103124	0	95440	461490	94132529	61.726653737675576	quant	Fri Apr 24 16:29:31 2020	Fri Apr 24 16:35:25 2020
SRR6298336_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	756498	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	19866334	14532859	0	130951	384215	81576544	73.15319978009028	quant	Fri Apr 24 16:36:53 2020	Fri Apr 24 16:41:59 2020
SRR6298339_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	758896	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	16610345	11515874	0	80426	338073	68602143	69.32952927829012	quant	Fri Apr 24 16:43:15 2020	Fri Apr 24 16:47:37 2020
SRR6298342_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	589181	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	16888492	11837549	0	89076	332689	66195145	70.09239782924372	quant	Fri Apr 24 17:39:07 2020	Fri Apr 24 17:43:48 2020
SRR6298344_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	850816	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	20670996	13204117	0	99741	446750	92610039	63.87750740215904	quant	Fri Apr 24 16:49:09 2020	Fri Apr 24 16:55:24 2020
SRR6298365_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	764503	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	16692021	10524316	0	74170	373005	71263465	63.049980586532925	quant	Fri Apr 24 16:56:40 2020	Fri Apr 24 17:01:20 2020
SRR6298370_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	728014	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	18975761	13878418	0	107300	349395	69535147	73.13760960627613	quant	Fri Apr 24 17:02:45 2020	Fri Apr 24 17:08:02 2020
SRR6298373_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	856165	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	20530481	14327264	0	107920	396655	71372346	69.78533040701774	quant	Fri Apr 24 17:09:36 2020	Fri Apr 24 17:14:57 2020
SRR6298376_quant	1.2.1	none	vb	[]	1	['IU']	1001	False	False	4096	mapping	False	167268	0	604533	False	['range_factorized', 'gzipped']	[553, 726, 1220, 2436, 101518]	f88b2fba4f6c374e206112eafcccff7300d4cc6cbf59f68b513307c15bf52074	253f3bdba6d757662025fbb2ee56e4727e5d6efe633a9dca9a2c094bfefa5d89	967d1294996dd78c2ed981a62b2c93ab6dc9bebfedb2051085275c882b2d690f3a8bf43189da9a06069b0b866b958f01a3eb52aa579194f3ca7b2026bf8f51ef	7143347aaaafc9189ca66d7238a17227c1614e52bf78a2ae06dc955ab9ebbf1b3dd5c4be993be71eacad97eed76b5c6e160b02686d295dd6bd62cc385159c889	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	17444470	12037628	0	94778	370643	79947229	69.00540973729784	quant	Fri Apr 24 17:45:09 2020	Fri Apr 24 17:49:57 2020
